sub,eye,rotationSpeed,afterReversalD,perceptualErrorMean,perceptualErrorStd,torsionPosMean,torsionPosStd,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,torsionAngleMean,torsionAngleStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,timeWindow,exp
1,2,25,1,0.224663821810322,2.52494566628747,0.393333043443338,0.666957174945893,-1.3702323973206,1.08389763342496,-0.0548092958928241,0.0433559053369984,0.558327268680522,0.25107651969601,0.0306928738499358,0.118872989268046,0.527634394830586,0.274718488978021,-0.527634394830586,0.274718488978021,1.13333333333333,0.516397779494322,1.17768373262217,0.88730207487378,1.01275740377323,0.505015995064644,15,-1,1
1,2,50,1,1.70485608261068,3.64781174335524,0.705559441528866,0.619790480521636,-1.95924889175034,0.834378303256166,-0.0391849778350067,0.0166875660651233,0.891025203428021,0.410583559482005,1.87614658487722e-06,8.79990750944699e-06,0.891023327281436,0.410582821306032,-0.891023327281436,0.410582821306032,1.04545454545455,0.785419070867978,1.31859594202308,1.0595497824421,1.35115517040465,0.770283887329875,22,-1,1
1,2,100,1,3.64842928975722,3.78389859546233,1.00265493651713,0.843923829531932,-2.10096956273645,1.88926347651202,-0.0210096956273645,0.0188926347651202,1.12096515733905,0.448601524992808,0.124042049708484,0.362001205676418,0.996923107630568,0.549640609866604,-0.924708036952255,0.746973273388555,1.25,0.786397515657049,1.77860229479698,1.3948868568999,1.50917302883084,0.829613527437275,20,-1,1
1,2,200,1,7.35214651260607,3.91499150706192,1.11130476742545,0.709472450515875,-3.14795961101919,0.791984040169006,-0.0157397980550959,0.00395992020084503,1.32138885476674,0.4309569356047,0.000863978959001872,0.00311512043760325,1.32052487580774,0.43212313511297,-1.32052487580774,0.43212313511297,1.15384615384615,0.554700196225229,2.19729845779552,1.01229941311259,1.94215859010902,0.394689449350941,13,-1,1
1,2,400,1,7.90486585633419,4.01223891736646,1.09006841174421,0.515111086750209,-2.39540125406637,0.551336249053854,-0.00598850313516592,0.00137834062263464,1.06440892004255,0.398510134322664,0.0254079127256481,0.086562999378987,1.0390010073169,0.382738673728287,-1.0390010073169,0.382738673728287,1.25,0.447213595499958,1.93459405609466,0.813579285127987,1.62743230718176,0.68228104281237,16,-1,1
1,2,25,-1,5.09045201064922,2.74080536731771,0.340261085824093,0.439535072055159,0.214676286846801,0.986003121086871,0.00858705147387204,0.0394401248434749,0.487189005645676,0.296622697921135,0.338710889532301,0.230620984013897,0.148478116113375,0.295158239642252,0.253584284413733,0.417187103755404,0.705882352941177,0.685994340570035,0.395721754635241,0.552919635051355,0.617525331178585,0.603894088891742,17,-1,1
1,2,50,-1,3.75949434047463,2.3960190843108,0.165910505279948,0.569878866101126,0.905515688548477,0.634567079683004,0.0181103137709695,0.0126913415936601,0.528459317663321,0.202957187681555,0.468706923486902,0.256239629779754,0.0597523941764192,0.142235260966552,0.437868819477056,0.337996452278966,1.15789473684211,1.06787212586198,0.838151256958749,0.771767949327525,0.814635370395092,0.450980834675698,19,-1,1
1,2,100,-1,6.18338236801777,3.40536977584975,-0.0560709661006847,0.645541274195017,1.48489529624875,1.08543280720781,0.0148489529624875,0.0108543280720781,0.61766811299689,0.26025166829412,0.55145763708054,0.259843605608194,0.0662104759163506,0.133601566584606,0.55145763708054,0.259843605608194,1.16666666666667,0.514495755427526,1.01679274127,0.705016478547762,0.857682274816284,0.453660941993024,18,-1,1
1,2,200,-1,8.01230114902028,4.39670848859463,-0.141907626945624,0.782601060494689,1.83627866413877,1.10343966603685,0.00918139332069383,0.00551719833018427,0.806874419576361,0.405765186698014,0.766193550673289,0.455351566895294,0.0406808689030716,0.0706791272300127,0.752680572495499,0.482241680963286,1.33333333333333,0.76696498884737,1.42578377482002,0.925523357284212,1.17979696688641,0.845012567846004,18,-1,1
1,2,400,-1,8.03971623459278,2.56495206657881,-0.202483871764597,0.804144025223707,1.86106926673075,1.20804749983228,0.00465267316682687,0.00302011874958069,0.804296851135935,0.40947851838765,0.763797912987986,0.435328115457765,0.0404989381479497,0.07833934039223,0.763797912987986,0.435328115457765,1.19047619047619,0.679635756787974,1.32279732072364,0.99833060582358,1.21955529321843,0.777410503685955,21,-1,1
