sub,rotationSpeed,LsameSideAfterReversalD,LtorsionVelT,LtorsionVGain,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacAmpSumT,LsacAmpMeanT,RsameSideAfterReversalD,RtorsionVelT,RtorsionVGain,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacAmpSumT,RsacAmpMeanT,exp
1,200,1,0.490147756215275,0.00245073878107637,0.870176289192263,0.870176289192263,-0,1,0.177352395401561,0.177352395401561,-1,0.532350737239868,0.00266175368619934,0.928583942391247,0.928583942391247,-0,1,0.305623635594058,0.305623635594058,2
1,200,-1,0.0708026210981692,0.000354013105490846,0.112323634175888,0.112323634175888,-0,2,0.911605636377476,0.455802818188738,1,0.233403042605663,0.00116701521302832,0.485316718453511,0.485316718453511,-0,1,0.219782635277632,0.219782635277632,2
1,200,1,0.0603856099722618,0.000301928049861309,0.148470128057717,0.148470128057717,-0,1,0.864446503454202,0.864446503454202,-1,0.222521911957956,0.00111260955978978,0.464388867494735,0.464388867494735,-0,1,0.321229141254738,0.321229141254738,2
1,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0.267299245875279,0.00267299245875279,0.482379304480656,0.482379304480656,-0,2,1.33842032186286,0.669210160931429,2
1,200,-1,0.308018568415198,0.00154009284207599,0.602548968289145,0.602548968289145,-0,1,0.650063516700744,0.650063516700744,1,0.264612289464058,0.00132306144732029,0.504866217336081,0.504866217336081,-0,0,0,NaN,2
1,25,-1,0.656864410732573,0.0262745764293029,1.07017075308141,1.07017075308141,-0,3,1.30099856683962,0.433666188946541,1,0.343080777728287,0.0137232311091315,0.652619337898363,0.652619337898363,-0,3,1.66026349110873,0.553421163702911,2
1,25,-1,0.214082730871969,0.00856330923487877,0.440403715571158,0.440403715571158,-0,0,0,NaN,1,0.347084127720246,0.0138833651088098,0.601916555205238,0.601916555205238,-0,3,3.37906974372357,1.12635658124119,2
1,100,1,0.682412645261125,0.00682412645261125,1.29816469307831,1.29816469307831,-0,1,0.247207948325671,0.247207948325671,-1,0.545644142738385,0.00545644142738385,1.03021877942534,1.03021877942534,-0,1,0.30274478819238,0.30274478819238,2
1,50,-1,-0.114438487173636,-0.00228876974347272,0.215255417389064,0,-0.215255417389064,1,0.638170949857806,0.638170949857806,1,-0.133808902883543,-0.00267617805767086,0.263584346944699,0,-0.263584346944699,0,0,NaN,2
1,100,1,0.773935142055622,0.00773935142055622,1.33045989455517,1.33045989455517,-0,1,0.60747831857562,0.60747831857562,-1,0.714114945304067,0.00714114945304067,1.24495902263095,1.24495902263095,-0,0,0,NaN,2
1,25,-1,-0.0370221007839781,-0.00148088403135912,0.0625458812726134,0,-0.0625458812726134,1,0.624691402408906,0.624691402408906,1,0.174411489003532,0.00697645956014129,0.3530537209153,0.3530537209153,-0,0,0,NaN,2
